테마,코드,코드 정의,주요 인용·근거
T1 대피소의 본질·유형,C1.1 재난유형별 대응구조,"사회재난(산불·참사)과 자연재난(수해)의 대피소 수·대응주체·컨트롤타워 차이","사회재난 1곳 vs 수해 수십 곳, 정부/행안부 vs 지자체"
T1 대피소의 본질·유형,C1.2 공간일 뿐인 대피소,"기능·준비 없이 ‘배정된 공간/주소’에 불과한 대피소의 실태","‘대피소는 공간입니다’, ‘대피소는 주소밖에 없다’"
T1 대피소의 본질·유형,C1.3 대피소의 동적 특성,"민원·민간시설·장기화로 대피소가 고정되지 않고 분산·이동·장기화됨","수영장 회원 민원, 흥해체육관 4년+ 체류"
T2 시설·거주환경 미비,C2.1 위생시설 부족,"샤워·화장실·취사 등 기본 위생시설의 부재 또는 부족","초·중학교 샤워시설 없음, 임시화장실 미준비"
T2 시설·거주환경 미비,C2.2 물리적 접근성 부재,"층·엘리베이터·경사로 등 이동약자 접근성 결손","울진 2층 대피소, 엘리베이터 1대"
T2 시설·거주환경 미비,C2.3 거주환경(조명·침대 등),"조명·침대·바닥생활 등 실거주 조건의 미비","첫날 밤 조명 문제, 침대(라꾸라꾸) 부족"
T3 재난 취약계층 사각지대,C3.1 고령자·이동약자,"이동성·기동력 부족으로 대피·이용에 제약받는 고령자","어르신 마을회관 잔류, 대피소 진입 순간 이동약자화"
T3 재난 취약계층 사각지대,C3.2 요양원·와병환자,"거동 불가·의료필요 인구가 일반 대피소에 방치되는 문제","의성 체육관 와병 어르신 40여 명, 4박5일 체류"
T3 재난 취약계층 사각지대,C3.3 아동·영유아·가족단위,"영유아·아동·임산부 및 가족 단위 수용 대비의 부재","청송 10인용 가족 텐트, 휴게소 수유실 대비 전무"
T3 재난 취약계층 사각지대,C3.4 외국인,"언어·사회적 배제 및 제도 누락으로 인한 외국인 사각지대","대피소 입소 거부, 피해지 미산정, 세탁차 거부"
T3 재난 취약계층 사각지대,C3.5 반려동물 동반,"반려동물 동반 입소·돌봄 인프라의 부재","짖으면 외부로, 일본식 애견호텔(주간돌봄) 필요"
T4 수요자 중심의 부재,C4.1 수요조사 미실시,"이재민의 실제 수요를 조사·반영하지 않는 운영 관행","‘수요조사=충족 의무’라 회피"
T4 수요자 중심의 부재,C4.2 공무원 역할의 구조적 한계,"기안·예산 절차 등으로 공무원이 수요를 충족할 수 없는 구조","‘구조가 그렇다, 욕하는 게 아니다’"
T4 수요자 중심의 부재,C4.3 특수 수요 대응 불가,"기저귀·분유 등 비표준·개별 수요의 조달 불가","후원 물품에 없으면 조달 불가"
T5 대피소의 커뮤니티 기능,C5.1 심리적 응급처치·공동체,"모여 있음으로써 위안·정보·심리적 회복이 일어나는 기능","‘가장 큰 기능은 커뮤니티 기능’"
T5 대피소의 커뮤니티 기능,C5.2 분산의 부작용,"모텔·펜션 분산이 단절·정보사각·공동체 붕괴를 초래","메인 대피소 ‘폭파’, 마을 간 지원 차등 갈등"
T6 사람·거버넌스 문제,C6.1 판단가능 경험자 부재,"현장에서 문제를 포착·판단할 경험 인력의 부재(자원봉사자와 구분)","‘이 문제로서 바라봐 줘야 한다’, ‘결론은 사람’"
T6 사람·거버넌스 문제,C6.2 매뉴얼-현장 괴리·전승 단절,"매뉴얼은 있으나 운영 인력·경험 전승이 없어 작동하지 않음","‘매뉴얼은 잘 돼 있는데 돌리는 건 사람’, 경험 증발"
T6 사람·거버넌스 문제,C6.3 의사결정 경직성·책임 회피,"이송·지원 등 핵심 판단을 머뭇거리고 매뉴얼을 보수적으로 적용","이송 결정 지연, 대피소 이탈 시 식사지원 중단"
T6 사람·거버넌스 문제,C6.4 부서 분절·소관 혼선,"담당 부서가 분절돼 시민·활동가가 책임주체를 못 찾음","주민복지과·시설물관리과·TF 소관 핑퐁"
T6 사람·거버넌스 문제,C6.5 기초의원 역할론,"기초의원을 재난대응 정보 매개·중심 주체로 세우자는 제안","‘지방의원 매뉴얼이 나와야 한다’"
T7 민간단체 생태계,C7.1 메이저 vs 소규모 단체,"정형 역할의 준정부형 메이저와 비정형 수요를 맡는 소규모 단체의 분리","적십자(밥차)·희망브리지(배분·세탁차) vs 현장형"
T7 민간단체 생태계,C7.2 모금-현장 괴리·이슈 흡수,"모금은 대형단체로 쏠리고 큰 단체가 이슈를 흡수, 현장-자원 분리","울진 800억·작년 2천억, ‘돈이 아닌 활용의 문제’"
T7 민간단체 생태계,C7.3 지역 네트워크·청년단체,"지역자원의 느슨한 네트워크화·청년단체 육성·주민예산 활용 모델","사회적기업·협동조합 사전 조직, 단톡방 1시간 내 조달"
T8 정보·데이터 문제,C8.1 정보공유·게시판 부재,"대피소 현황·지원내역을 공유하는 게시판·안내 체계의 부재","일본 게시판 vs 한국 ‘사람에게 물어야’"
T8 정보·데이터 문제,C8.2 개인정보 장벽,"개인정보 규제가 취약계층 파악·지원의 보틀넥이 됨","이장도 정보 미제공, 재난대응 한정 동의 필요"
