번호,데이터 항목(후보),분류,설명·정의,데이터 유형,적용 재난유형,우선순위,현 공공데이터 보유,수집 출처·방법,수집 난이도,인터뷰 근거(타임스탬프),비고
1,위치·주소,위치·기본,대피소 좌표·주소,텍스트/좌표,공통,기존,있음,행안부 안전디딤돌 등,하,01:04:56 / 01:05:35,"이미 제공 중. ‘위치만 있다’"
2,수용 인원,위치·기본,최대 수용 가능 인원,수치,공통,기존,있음,행안부 공공데이터,하,01:05:35,기존 항목
3,수용 면적,위치·기본,대피 가능 면적,수치(㎡),공통,기존,있음,행안부 공공데이터,하,01:05:35,기존 항목
4,대비 재난유형,위치·기본,지진/민방위/수해 등 지정 유형,범주,공통,기존,있음,행안부 공공데이터,하,01:04:05 / 01:05:35,"지진(운동장)·민방위(지하주차장·지하철)·수해(강당)로 분리"
5,관리 담당 부서,담당주체·연락처,"대피소를 실제 관할하는 부서(사회복지과/주민복지과/시설물관리과 등)",텍스트,공통,P1,없음,지자체·주민센터 확인,중,01:15:05 / 01:16:46,"★전문가·팀 모두 최우선 지목. 담당이 제각각이라 시민이 헤맴"
6,대표 연락처(유선),담당주체·연락처,담당 부서·대피소 대표 전화번호,연락처,공통,P1,없음,지자체 확인,중,01:15:05 / 01:17:31,"‘전화번호만 들어가도 큰 정보’. 보직 바뀌어도 유선번호는 유지"
7,운영 주체,담당주체·연락처,공공/민간/혼합 등 운영 방식,범주,공통,P2,없음,현장·지자체 확인,중,01:21:54,일본은 민간 공동운영
8,관할 기초의원,담당주체·연락처,해당 지역 군·시의원 및 연락 정보,텍스트,공통,P2,없음,지방의회 공개정보,하,00:48:43 / 00:50:31,정보요청 권한 보유한 매개자
9,지역 지원자원 명단,담당주체·연락처,"유사시 역할 가능한 지역 사회적기업·협동조합·자활기업",텍스트,공통,P2,없음,사회연대·자활센터,중,01:18:12,느슨한 네트워크 사전 조직 대상
10,휠체어 접근 가능,접근성(배리어프리),입구~대피공간 휠체어 이동 가능 여부,Boolean,공통,P1,없음,현장 답사,하,00:55:25,취약계층 핵심 정보
11,경사로 유무,접근성(배리어프리),경사로 설치 여부,Boolean,공통,P1,없음,현장 답사,하,00:55:25 / 00:59:23,
12,엘리베이터 유무·대피층수,접근성(배리어프리),"엘리베이터 수와 실제 대피 공간이 위치한 층",Boolean+수치,공통,P1,없음,현장 답사,하,00:22:29 / 00:55:25,"울진 사례: 2층, 엘리베이터 1대"
13,장애인 화장실 유무,접근성(배리어프리),장애인용 화장실 설치 여부,Boolean,공통,P1,없음,현장 답사,하,00:55:25 / 00:59:23,
14,반려동물 동반 가능,접근성(배리어프리),반려동물 동반 입소 가능 여부,Boolean,공통,P1,없음,현장·지자체 확인,중,00:55:25 / 00:57:45,"5가구 이하 통상 동반. 주간돌봄(애견호텔) 필요"
15,가족 단위 수용 가능,접근성(배리어프리),"가족 단위(대형 텐트 등) 수용 가능 여부",Boolean,공통,P1,없음,현장 답사,중,00:55:25 / 00:55:25,청송 10인용 대형 텐트 사례
16,영유아·수유 시설,접근성(배리어프리),수유실·영유아 대비 여부,Boolean,공통,P2,없음,현장 답사,하,00:56:51,휴게소 수유실과 대비되는 결손
17,이동지원(버스·셔틀),접근성(배리어프리),대피소~생활권 이동수단 운행 여부·횟수,텍스트,공통,P2,없음,지자체 확인,중,00:56:06 / 00:39:28,"행정 버스 하루 2회 등 비현실적 → 보완 필요"
18,샤워시설 유무·개수,위생·생활시설,샤워 가능 여부 및 개수,Boolean+수치,공통,P1,없음,현장 답사,하,00:14:21 / 00:31:04,초·중학교 강당은 대개 없음
19,화장실 개수·면적,위생·생활시설,화장실 수·면적(인원당 기준 대비),수치,공통,P1,없음,현장 답사,중,00:30:18 / 01:07:41,인원당 화장실 기준 존재
20,취사시설 유무,위생·생활시설,자체 취사 가능 여부,Boolean,공통,P2,없음,현장 답사,하,01:00:16,한국은 밥차 의존(일본은 취사 가능)
21,세탁시설·세탁차 접근,위생·생활시설,세탁 가능 여부/세탁차 지원 가능성,Boolean,공통,P3,없음,현장·민간단체,중,00:18:13 / 01:12:37,외국인 기름때 등 거부 사례 존재
22,냉·난방 설비,위생·생활시설,냉방·난방 가능 여부,Boolean,공통,P2,없음,현장 답사,하,00:55:25,
23,야간 조명·수면환경,위생·생활시설,취침 시 조명 분리·암막 가능 여부,Boolean,공통,P2,없음,현장 답사,중,01:24:34,"첫날 밤 조명 문제 흔함"
24,전기·콘센트·와이파이,위생·생활시설,충전 인프라·통신 가용성,Boolean,공통,P2,부분,통신사·현장,중,00:40:28,KT 등 통신사 빠르게 기지국 설치
25,침대(바닥생활 대체),위생·생활시설,라꾸라꾸 등 침대 제공 가능 여부,Boolean,공통,P3,없음,민간·지자체 비축,중,00:58:31,바닥생활 어려운 고령자 다수
26,실제 거주 가능 여부,유형별 특수,"잠깐 대피용 vs 숙박·거주 가능 공간 구분",범주,공통,P1,없음,현장 답사,중,01:44:48 (달로스),"지하주차장은 거주 부적합. 답사 기반 분류"
27,야외 대피소 시설물,유형별 특수,"운동장 등 야외 시설물(테니스장·농구대·벤치·정글짐)",텍스트,지진·공통,P2,없음,현장 답사,중,01:10:54,통신 두절 시 가족 상봉 거점 기능
28,지하주차장 시설,유형별 특수,"민방위 대피소 관리실·화장실·전기차 충전 등",텍스트,민방위,P2,없음,현장 답사,중,01:10:54,
29,게시판형 정보판 유무,유형별 특수,현장 정보 공유 보드 설치 여부,Boolean,공통,P2,없음,현장 답사,하,00:41:17,일본식 게시판(인원·지원내역) 부재 점검
30,결손정보 명시,결손정보,"‘장애인 대피 불가’·‘샤워시설 없음’ 등 부재 자체를 기록",텍스트,공통,P1,없음,현장 답사,하,01:24:34,"★‘없으면 없다고 적어 달라’ — 시민데이터 차별점"
