번호,데이터 항목(후보),분류,설명·정의,데이터 유형,적용 재난유형,우선순위,현 공공데이터 보유,수집 출처·방법,수집 난이도,인터뷰 근거(타임스탬프),현장탐방 근거(2회차),현장 검증,비고
1,위치·주소,위치·기본,대피소 좌표·주소,텍스트/좌표,공통,기존,있음,행안부 안전디딤돌 등,하,01:04:56 / 01:05:35,P01: 지도 위치 반영 지연·미갱신,검증됨(정확도 문제),이미 제공 중. ‘위치만 있다’
2,수용 인원,위치·기본,최대 수용 가능 인원,수치,공통,기존,있음,행안부 공공데이터,하,01:05:35,FL-03/RT-05: 교회 포화로 남사초로 변경,검증됨(수용여력 중요),기존 항목
3,수용 면적,위치·기본,대피 가능 면적,수치(㎡),공통,기존,있음,행안부 공공데이터,하,01:05:35,이번 회차 미관찰,미검증,기존 항목
4,대비 재난유형,위치·기본,지진/민방위/수해 등 지정 유형,범주,공통,기존,있음,행안부 공공데이터,하,01:04:05 / 01:05:35,P01: 민방위대피소 유형 혼란,검증됨,지진(운동장)·민방위(지하주차장·지하철)·수해(강당)로 분리
5,관리 담당 부서,담당주체·연락처,대피소를 실제 관할하는 부서(사회복지과/주민복지과/시설물관리과 등),텍스트,공통,P1,없음,지자체·주민센터 확인,중,01:15:05 / 01:16:46,P07: 관리자 알 수 없음,검증됨,★전문가·팀 모두 최우선 지목. 담당이 제각각이라 시민이 헤맴
6,대표 연락처(유선),담당주체·연락처,담당 부서·대피소 대표 전화번호,연락처,공통,P1,없음,지자체 확인,중,01:15:05 / 01:17:31,P07: 관리 주체 연락 불가,검증됨,‘전화번호만 들어가도 큰 정보’. 보직 바뀌어도 유선번호는 유지
7,운영 주체,담당주체·연락처,공공/민간/혼합 등 운영 방식,범주,공통,P2,없음,현장·지자체 확인,중,01:21:54,P20: 개방 여부 확인 불가,부분 검증,일본은 민간 공동운영
8,관할 기초의원,담당주체·연락처,해당 지역 군·시의원 및 연락 정보,텍스트,공통,P2,없음,지방의회 공개정보,하,00:48:43 / 00:50:31,이번 회차 미관찰,미검증,정보요청 권한 보유한 매개자
9,지역 지원자원 명단,담당주체·연락처,유사시 역할 가능한 지역 사회적기업·협동조합·자활기업,텍스트,공통,P2,없음,사회연대·자활센터,중,01:18:12,이번 회차 미관찰,미검증,느슨한 네트워크 사전 조직 대상
10,휠체어 접근 가능,접근성(배리어프리),입구~대피공간 휠체어 이동 가능 여부,Boolean,공통,P1,없음,현장 답사,하,00:55:25,P16~P18: 턱·인도 없음으로 휠체어 이동 곤란,검증됨,취약계층 핵심 정보
11,경사로 유무,접근성(배리어프리),경사로 설치 여부,Boolean,공통,P1,없음,현장 답사,하,00:55:25 / 00:59:23,P17: 공원 앞 길 턱(연석),검증됨(부분),
