ID,타임스탬프,화자,발화 내용(요약·인용),코드,테마,분석 메모
1,00:08:31,이동환(전문가),"공공데이터를 봤을 때 현장 중심으로 만들어진 데이터가 아님을 느낌. 지자체 백서·자료 기반이라 현장과 괴리.",C8.1 정보공유·현장 괴리,T8 정보·데이터 문제,"데이터의 출처가 현장이 아닌 행정 문서라는 근본 한계 지적."
2,00:09:56,이동환(전문가),"재난을 사회재난(산불·참사)과 자연재난(수해)으로 구분. 사회재난은 대피소 1곳, 수해는 수십 곳.",C1.1 재난유형별 대응구조,T1 대피소의 본질·유형,"대피소를 단일 개념으로 보면 안 됨. 유형별로 구조·주체가 다름."
3,00:10:56,이동환(전문가),"수해는 집이 남아 있어 낮엔 집 청소하고 집 근처 머물고 싶어함. 마을회관이 실질 대피소.",C1.1 재난유형별 대응구조,T1 대피소의 본질·유형,"지정 대피소(학교 강당)와 실제 이용처(마을회관)의 불일치."
4,00:11:53,이동환(전문가),"산불은 집이 없어져 돌아갈 곳 없음. 사회재난 컨트롤타워는 정부·행안부, 수해는 지자체. 모으는 이유는 피해조사·물품배분.",C1.1 재난유형별 대응구조,T1 대피소의 본질·유형,"대응주체·컨트롤타워가 재난유형별로 상이. 데이터 설계 시 분기 필요."
5,00:13:29,이동환(전문가),"수해 대피소는 저녁에 잠만 자는 곳. ‘대피소인가’ 싶을 정도.",C1.2 공간일 뿐인 대피소,T1 대피소의 본질·유형,"대피소의 실제 기능 수준이 매우 낮음."
6,00:13:29,이동환(전문가),"물 끊기면 목욕권 수천 장 구입해 마을 단위 배포. 초·중학교는 샤워시설 거의 없어 화장실 세면 수준.",C2.1 위생시설 부족,T2 시설·거주환경 미비,"위생시설 부재가 핵심 결손. 목욕권은 민간 보완책."
7,00:15:14,이동환(전문가),"성인용 기저귀 등 특수 요청은 후원 물품에 없으면 조달 불가. 공무원이 사다 줄 수 없음.",C4.3 특수 수요 대응 불가,T4 수요자 중심의 부재,"표준 물품 외 개별 수요는 구조적으로 충족 불가."
8,00:16:10,이동환(전문가),"공무원은 수요를 맞춰 주는 역할이 아님. 돈 쓰려면 기안 필요. ‘구조가 그렇다, 욕하는 게 아니다.’",C4.2 공무원 역할의 구조적 한계,T4 수요자 중심의 부재,"개인 비난이 아닌 제도·구조의 문제로 규정."
9,00:17:14,이동환(전문가),"수요 충족은 민간단체 몫인데, 모금 주체가 현장에 없어 괴리 발생.",C7.2 모금-현장 괴리,T7 민간단체 생태계,"모금과 현장 활동의 분리가 구조적 공백 야기."
10,00:18:13,이동환(전문가),"지자체가 아는 민간단체는 적십자(밥차)·희망브리지(배분·세탁차)·사랑의열매 정도. 사실상 준정부기관.",C7.1 메이저 vs 소규모 단체,T7 민간단체 생태계,"메이저 단체는 정형 역할에 한정. 비정형 수요 공백."
11,00:19:06,이동환(전문가),"국내 재난 적어 현장 민간단체 유지 어려움. 모금은 메이저로 쏠림.",C7.1 메이저 vs 소규모 단체,T7 민간단체 생태계,"현장형 소규모 단체의 지속가능성 위기."
12,00:19:52,이동환(전문가),"‘매뉴얼은 너무 잘 만들어져 있는데, 돌리는 건 사람이다.’ 한국은 사람을 경시.",C6.2 매뉴얼-현장 괴리,T6 사람·거버넌스 문제,"핵심 명제. 문서가 아닌 운영 인력이 병목."
13,00:20:00,이동환(전문가),"재난은 몇몇 사람을 갈아넣어 지나감. 번아웃으로 경험이 남지 않음.",C6.2 경험 전승 단절,T6 사람·거버넌스 문제,"경험·노하우의 휘발. 전승 메커니즘 부재."
14,00:20:51,이동환(전문가),"2019 고성산불 때 어르신들이 대피소(초등학교)에 오지 않고 마을회관에 머묾. 기동력 없음.",C3.1 고령자·이동약자,T3 재난 취약계층 사각지대,"지정 대피소 접근성 자체가 고령자에겐 장벽."
15,00:21:37,이동환(전문가),"마을회관은 취사·냉장고·세탁기 등 대피소로 최적화. 시골 어르신 대피처.",C1.1 재난유형별 대응구조,T1 대피소의 본질·유형,"일상 생활시설이 사실상 최적 대피소(일본 모델과 유사)."
16,00:22:29,이동환(전문가),"2022 울진 국민체육관 대피소가 2층, 엘리베이터 1대. 80대 이상이 가장 많았음.",C2.2 물리적 접근성 부재,T2 시설·거주환경 미비,"층·엘리베이터 정보는 취약계층에 결정적. 데이터화 필요."
17,00:23:16,이동환(전문가),"‘대피소라고 하는 게 공간입니다. 그 공간이 대피소라고 그냥 배정돼 있는 거죠.’",C1.2 공간일 뿐인 대피소,T1 대피소의 본질·유형,"인터뷰 핵심 인용. 대피소=기능이 아닌 ‘배정된 공간’."
18,00:24:08,이동환(전문가),"2025 의성 체육관은 절반 이상이 요양원 어르신. 와병 어르신 약 40명 바닥에 누워 있었음.",C3.2 요양원·와병환자,T3 재난 취약계층 사각지대,"‘전쟁 수준’. 최고도 취약계층이 일반 대피소에 방치."
19,00:25:06,이동환(전문가),"거동 불가 어르신들이 4박5일 체류. 한 분이라도 사망 시 2차 피해 우려.",C3.2 요양원·와병환자,T3 재난 취약계층 사각지대,"‘하루면 옮긴다’던 예측이 4박5일로. 판단 지연의 위험."
20,00:26:55,이동환(전문가),"이송·이전 결정을 내릴 사람이 없음. 시청 과장급도 머뭇거림·두려움이 큼.",C6.3 의사결정 경직성,T6 사람·거버넌스 문제,"책임 회피 구조가 취약계층 안전을 위협."
21,00:27:52,이동환(전문가),"결국 정치인·당선인이 와서 ‘옮겨라’ 해야 해결되는 구조.",C6.3 의사결정 경직성,T6 사람·거버넌스 문제,"정상 의사결정 라인이 아닌 정무적 개입에 의존."
22,00:28:40,이동환(전문가),"2022 관악 수해 때 학생들이 주민센터로 갔으나 ‘대피소 아니다’며 돌려보냄. 초등학교 강당은 불 꺼져 있었음.",C8.1 정보·안내 부재,T8 정보·데이터 문제,"지정 대피소가 실제로 ‘열려 있지 않은’ 정보 공백."
23,00:30:18,이동환(전문가),"인원당 화장실 기준은 있으나 실제 임시화장실·샤워시설은 준비 안 됨.",C2.1 위생시설 부족,T2 시설·거주환경 미비,"규정과 현장 집행 사이의 간극."
24,00:31:04,이동환(전문가),"체육센터·수영장은 샤워 가능하나 회원 민원으로 5~6일 만에 분산해야 함.",C1.3 대피소의 동적 특성,T1 대피소의 본질·유형,"민원·사유재산권으로 대피소가 유동적. 고정 데이터의 한계."
25,00:32:00,이동환(전문가),"울진 때 약 200명을 호텔·모텔·펜션으로 분산해 메인 대피소를 ‘폭파(해체)’.",C5.2 분산의 부작용,T5 대피소의 커뮤니티 기능,"분산은 행정 편의·민원 대응의 결과."
26,00:32:00,이동환(전문가),"‘대피소의 가장 큰 기능은 커뮤니티 기능.’ 모여 있으면 심리적 응급처치가 됨.",C5.1 심리적 응급처치·공동체,T5 대피소의 커뮤니티 기능,"핵심 인용. 대피소의 본질 가치는 물리시설이 아닌 공동체."
27,00:33:03,이동환(전문가),"모여 있으면 정보·위안 얻음. 어르신은 집 왕래 어려워 취약성이 그대로 드러남.",C5.1 심리적 응급처치·공동체,T5 대피소의 커뮤니티 기능,"커뮤니티가 정보·정서 인프라 역할."
28,00:34:56,이동환(전문가),"분산 명분은 ‘편하게 지내시라’는 언론 보도용. 실제론 단절 초래.",C5.2 분산의 부작용,T5 대피소의 커뮤니티 기능,"보여주기식 분산이 공동체 회복을 저해."
29,00:35:49,이동환(전문가),"모텔 분산 시 물품 못 받고 정보 사각지대화. 식비 자부담(인당 5만 원+끼니 1.1만 원)은 비현실적.",C5.2 분산의 부작용,T5 대피소의 커뮤니티 기능,"물품 배분이 공무원 중심이라 분산자는 배제됨."
30,00:37:41,이동환(전문가),"최적 대피소는 수련원(공동식당·강당). 2019 고성 때 기업·정부 수련원 개방.",C10.3 우수 모델,T10 현장 지원 실무,"수련원이 커뮤니티+생활기능 모두 충족."
31,00:38:30,이동환(전문가),"영덕은 수련원 1곳에 3개 마을, 나머진 모텔·펜션. 지원 차등→마을 간 갈등·공동체 붕괴.",C5.2 분산의 부작용,T5 대피소의 커뮤니티 기능,"배치 차등이 재난 후 공동체 회복을 방해."
32,00:39:28,이동환(전문가),"현장에 필요한 데이터는 ‘불탄 집 수·대피소 인원’. 그러나 행안부 데이터를 현장에서 검색한 적 없음.",C8.3 데이터화 가능 항목,T8 정보·데이터 문제,"전문가도 공공데이터를 현장에서 활용 안 함→실효성 의문."
33,00:39:28,이동환(전문가),"물리적 환경을 못 바꾸니 그 외 지원. 울진은 멀어 택시 교통권(3만 원) 제공.",C10.1 피스윈즈 지원활동,T10 현장 지원 실무,"이동약자 대상 교통권은 일본에서 도입한 방식."
34,00:40:28,이동환(전문가),"통신사(KT)는 빨리 들어와 와이파이·충전기 설치. 텐트별 연장선 빼주는 건 민간 몫.",C10.1 피스윈즈 지원활동,T10 현장 지원 실무,"생활 컨디션 개선(전기·과일·두유 등) 즉시 지원."
34a,00:41:17,이동환(전문가),"‘일본은 무조건 게시판이 잘 돼 있다.’ 인원·체류자·지원 내역(누가 와서 무엇을 줬는지)이 보드에 다 적혀 있음.",C8.1 정보공유·게시판 부재,T8 정보·데이터 문제,"핵심 비교. 정보 공개·공유 보드가 한국엔 부재."
35,00:42:52,이동환(전문가),"한국은 정보 얻으려면 말단·교대 공무원에게 물어야 하고 수요조사 자체를 안 함.",C4.1 수요조사 미실시,T4 수요자 중심의 부재,"정보 접근이 사람 의존적·비표준적."
36,00:43:37,이동환(전문가),"‘수요를 조사한다는 건 충족시켜야 한다는 것’이라 안 함. 지역 협동조합·공동체가 해야 할 역할.",C4.1 수요조사 미실시,T4 수요자 중심의 부재,"수요조사 회피의 동기를 구조적으로 설명."
37,00:44:20,이동환(전문가),"반려동물·임산부 등 정보 얻을 곳 없어 이장에게 전화. 서울은 주민센터가 정보 많음.",C8.1 정보공유·게시판 부재,T8 정보·데이터 문제,"취약계층 현황 데이터의 부재."
38,00:45:16,이동환(전문가),"개인정보 때문에 정보 공유 ‘난리’. 이장조차 마을 사람 정보 안 줌. 재난대응 한정 사전 동의 필요.",C8.2 개인정보 장벽,T8 정보·데이터 문제,"데이터 흐름의 핵심 보틀넥. 제도 개선 포인트."
39,00:46:04,이동환(전문가),"‘과장이 책임지면 된다.’ 그러나 책임질 사람이 거의 없음.",C6.3 의사결정 경직성,T6 사람·거버넌스 문제,"개인정보 등 판단을 내려줄 리더십 부재."
40,00:46:52,이동환(전문가),"이장과 라포 형성 위해 위로·보조배터리·식사 지원. ‘신천지냐’는 의심부터 받음.",C10.2 라포 형성,T10 현장 지원 실무,"신뢰 구축이 현장 활동의 전제."
41,00:48:43,이동환(전문가),"기초의원(군·시의원)이 재난대응 중심이 돼야 함. 공무원에게 정보 요청할 권한 있음.",C6.5 기초의원 역할론,T6 사람·거버넌스 문제,"정보 매개자로서 기초의원의 잠재력. 데이터화 대상 가능."
42,00:50:31,이동환(전문가),"‘지방의원 매뉴얼이 나와야 한다.’ 지자체장보다 더 많이 교육해야 한다고 결론.",C6.5 기초의원 역할론,T6 사람·거버넌스 문제,"제도화 제안. 교육·매뉴얼 대상의 재설정."
43,00:51:14,이동환(전문가),"기초의원과 협업 시 효능감으로 적극 움직임. 세탁기·냉장고 등 이틀 내 조달 가능.",C6.5 기초의원 역할론,T6 사람·거버넌스 문제,"지역 사정에 밝은 매개자 활용이 효율적."
44,00:52:11,이동환(전문가),"자원봉사자는 현장에서 판단하는 사람이 아님. 연결·지시해 줘야 작동.",C6.1 판단가능 경험자 부재,T6 사람·거버넌스 문제,"인력은 많아도 ‘판단 인력’이 없음."
45,00:53:13,이동환(전문가),"헌옷을 그냥 나눠주면 수치심. 분류·배려해 전달하자는 의견을 낼 사람이 없음.",C6.1 판단가능 경험자 부재,T6 사람·거버넌스 문제,"수요자 존엄 고려가 운영 역량에 달림."
46,00:54:01,이동환(전문가),"‘이 문제로서 바라봐 줘야 한다.’ 다음 재난을 위해 문제를 포착하는 시각을 가진 사람이 현장에 없음.",C6.1 판단가능 경험자 부재,T6 사람·거버넌스 문제,"핵심 인용. 연구자·전문가의 현장 참여 필요성으로 연결."
47,00:55:25,이동환(전문가),"휠체어 접근·장애인화장실·엘리베이터·냉방·반려동물 동반·가족단위 가능 여부가 데이터에 안 적혀 있음.",C8.3 데이터화 가능 항목,T8 정보·데이터 문제,"가장 구체적인 데이터화 요구사항 목록."
48,00:55:25,이동환(전문가),"2025 청송에서 10인용 대형(가족) 텐트 2~3동 발견. 가족·영유아 단위 대응의 단초.",C3.3 아동·영유아·가족단위,T3 재난 취약계층 사각지대,"가족 단위 수용은 아직 예외적·비표준."
49,00:56:06,이동환(전문가),"고령자는 대피소 오는 순간 이동약자. 행정 버스는 하루 2회뿐이라 비현실적→민간 보완.",C3.1 고령자·이동약자,T3 재난 취약계층 사각지대,"이동권 보장이 별도 과제."
50,00:56:51,이동환(전문가),"휴게소 수유실은 잘 돼 있는데 대피소엔 영유아 대비 전무. 안 오면 물품·피해조사 사각지대.",C3.3 아동·영유아·가족단위,T3 재난 취약계층 사각지대,"‘안 오니 사각화’되는 악순환."
51,00:57:45,이동환(전문가),"반려동물 5가구 이하는 대개 동반 입소. 짖으면 밖으로. 일본식 ‘애견호텔’(주간 돌봄) 역할 필요.",C3.5 반려동물 동반,T3 재난 취약계층 사각지대,"반려동물 때문에 피해조사·외출 제약. 돌봄 인프라 필요."
52,00:58:31,이동환(전문가),"바닥생활 어려운 분 많음. 침대(라꾸라꾸) 필요하나 재난물품 수량 부족 시 즉시 지원 안 됨.",C2.3 거주환경(침대 등),T2 시설·거주환경 미비,"비축 물품 수량이 데이터화 대상일 수 있음."
53,00:59:23,이동환(전문가),"천막·텐트 수량은 군청 또는 희망브리지·적십자 창고에 정보가 있을 것. 재난구호기금은 지자체별 수십억 비축되나 잘 안 씀.",C8.3 데이터화 가능 항목,T8 정보·데이터 문제,"비축 자원·기금 데이터의 소재 추정. 기금 미집행은 보수적 행정의 일면."
54,01:00:16,이동환(전문가),"일본은 대피시설에 취사 가능. 경로당·복지센터가 평상시부터 대피소 역할(휠체어·와병자 포함).",C9.1 일본 대피소 운영,T9 해외(일본) 비교,"평상시 이용시설=재난시 대피소. 연속성 모델."
55,01:01:26,이동환(전문가),"의성은 장애인시설 인원을 별도 체육관으로 분리 수용(밥차도 별도).",C3.2 요양원·와병환자,T3 재난 취약계층 사각지대,"분리 수용은 일부 이뤄지나 비표준적."
56,01:02:22,이근희(진행),"대피소 데이터 입력 주체는 공무원이며, 일반인 입력은 가능하지 않은 것으로 안다(전문가 질문에 답).",C8.4 데이터 거버넌스,T8 정보·데이터 문제,"데이터 입력·관리 권한 구조 확인."
57,01:04:05,이동환(전문가),"‘대피소는 지금 주소밖에 없다.’ 지진(운동장)·민방위(지하주차장·지하철)·수해(초등 강당)로 구분되며 위치만 존재.",C1.2 공간일 뿐인 대피소,T1 대피소의 본질·유형,"핵심 인용. 현 데이터는 위치 정보에 머묾."
