작업,담당자,일정
정기모임 일정 새로 투표,Geunhee Lee,"March 29, 2025 → April 4, 2025"
킥오프,Geunhee Lee,"April 8, 2025 8:00 PM (GMT+9)"
로고 만들기,Geunhee Lee,"April 8, 2025 → April 11, 2025"
기존 노션 페이지 내용 옮기기,Geunhee Lee,"March 29, 2025 → March 30, 2025"
풀씨 중간보고,Geunhee Lee,"June 16, 2025 → June 22, 2025"
풀씨 결과보고서 제출,,"October 12, 2025"
풀씨 결과공유회,,"November 12, 2025"
팀원 모집글 공지,Eunsoo Lee,"March 20, 2025"
팀원 온보딩 문서 작성,Eunsoo Lee,"March 19, 2025"
데이터 수집 및 분석 계획,,"April 30, 2025 → May 31, 2025"
전문가 간담회 (6월 밋앤핵),,"May 1, 2025 → June 30, 2025"
프로젝트 계획 세우기,"클루KLOU, Ohyeon KWEON, Geunhee Lee, rebane, Hanbyul Jo, TAE SOO KIM, Haewon Park, Yrina, doran@parti.coop, Soobin, Eunsoo Lee","April 14, 2025 → April 29, 2025"
문제 정의 및 개선 방향 도출,,"June 2, 2025 → June 30, 2025"
시민 설문 데이터 수집,,"July 1, 2025 → August 31, 2025"
정책 개선안 도출 및 데이터 개선 권고안,,"August 1, 2025 → September 30, 2025"
풀씨 지원서 작성 및 제출,"Geunhee Lee, Ohyeon KWEON, Eunsoo Lee","February 17, 2025 → February 19, 2025"
서비스 프로토타입 제작,"Geunhee Lee, 클루KLOU, Yuna Shin, rebane, Hanbyul Jo, Yrina, doran@parti.coop","May 27, 2025 → June 29, 2025"
협업 공간 설정,"Geunhee Lee, 클루KLOU","April 10, 2025 → April 11, 2025"
서비스 참고 사례 수집,"Geunhee Lee, 클루KLOU, Yuna Shin, rebane, Hanbyul Jo, Yrina, doran@parti.coop, Eunsoo Lee","May 28, 2025 → June 10, 2025"
수요자 특성 구체화,"Geunhee Lee, 클루KLOU, Yuna Shin, rebane, Hanbyul Jo, Yrina, doran@parti.coop, Eunsoo Lee","May 28, 2025 → June 10, 2025"
서비스 기획,"Geunhee Lee, Yuna Shin, rebane, Hanbyul Jo, Yrina, doran@parti.coop, Eunsoo Lee","May 28, 2025 → June 3, 2025"
전문가 간담회 질문 작성,"Geunhee Lee, Da Young Kim, Yuna Shin, fluid, rebane, Hanbyul Jo, Haewon Park, TAE SOO KIM, Yrina, doran@parti.coop, Soobin, Eunsoo Lee, 클루KLOU, Ohyeon KWEON","June 18, 2025 → June 24, 2025"
6월 행사 홍보,"Geunhee Lee, Eunsoo Lee, 클루KLOU","June 18, 2025 → June 23, 2025"
간담회용 자료 정리,"Geunhee Lee, Eunsoo Lee","June 19, 2025 8:00 PM (GMT+9)"
간담회 전문가 피드백 반영,,"June 25, 2025 → June 29, 2025"
서비스 청사진 작성,"Geunhee Lee, Eunsoo Lee","June 11, 2025 → June 17, 2025"
서비스 사용자 흐름도 작성,Geunhee Lee,"June 11, 2025 → June 15, 2025"
전문가 섭외,"Soobin, 클루KLOU","June 10, 2025 → June 16, 2025"
데이터 작업 - 재난 물품 데이터 정리,Eunsoo Lee,"July 15, 2025"
데이터 작업 - 재난 종류 + 물품 데이터 만들기,클루KLOU,"July 15, 2025"
와이어프레임,Yuna Shin,"July 15, 2025"
